mediaType,title,year,tags
MOVIE,The Searchers,1956,National Film Registry
MOVIE,3:10 to Yuma,1957,National Film Registry
MOVIE,A Face in the Crowd,1957,National Film Registry
MOVIE,Edge of the City,1957,National Film Registry
MOVIE,Jailhouse Rock,1957,National Film Registry
MOVIE,Old Yeller,1957,National Film Registry
MOVIE,On the Bowery,1957,National Film Registry
MOVIE,Paths of Glory,1957,National Film Registry
MOVIE,Sweet Smell of Success,1957,National Film Registry
MOVIE,The Hunters,1957,National Film Registry
MOVIE,The Incredible Shrinking Man,1957,National Film Registry
MOVIE,The Tall T,1957,National Film Registry
MOVIE,Will Success Spoil Rock Hunter?,1957,National Film Registry
MOVIE,The 7th Voyage of Sinbad,1958,National Film Registry
MOVIE,Touch of Evil,1958,National Film Registry
MOVIE,Vertigo,1958,National Film Registry
MOVIE,Jazz on a Summer's Day,1959,National Film Registry
MOVIE,Porgy and Bess,1959,National Film Registry
MOVIE,Rio Bravo,1959,National Film Registry
MOVIE,Shadows,1959,National Film Registry
MOVIE,Sleeping Beauty,1959,National Film Registry
MOVIE,House of Usher,1960,National Film Registry
MOVIE,Primary,1960,National Film Registry
MOVIE,The Magnificent Seven,1960,National Film Registry
MOVIE,Wild River,1960,National Film Registry
MOVIE,A Raisin in the Sun,1961,National Film Registry
MOVIE,Flower Drum Song,1961,National Film Registry
MOVIE,One-Eyed Jacks,1961,National Film Registry
MOVIE,The Exiles,1961,National Film Registry
MOVIE,Ride the High Country,1962,National Film Registry
MOVIE,The Man Who Shot Liberty Valance,1962,National Film Registry
MOVIE,Charade,1963,National Film Registry
MOVIE,Crisis: Behind a Presidential Commitment,1963,National Film Registry
MOVIE,Shock Corridor,1963,National Film Registry
MOVIE,The Birds,1963,National Film Registry
MOVIE,The Cool World,1963,National Film Registry
MOVIE,The Nutty Professor,1963,National Film Registry
MOVIE,The Pink Panther,1963,National Film Registry
MOVIE,Dead Birds,1964,National Film Registry
MOVIE,Nothing but a Man,1964,National Film Registry
MOVIE,Point of Order,1964,National Film Registry
MOVIE,The T.A.M.I. Show,1964,National Film Registry
MOVIE,A Time for Burning,1966,National Film Registry
MOVIE,Seconds,1966,National Film Registry
MOVIE,The Endless Summer,1966,National Film Registry
MOVIE,David Holzman's Diary,1967,National Film Registry
MOVIE,Dont Look Back,1967,National Film Registry
MOVIE,Point Blank,1967,National Film Registry
MOVIE,Portrait of Jason,1967,National Film Registry
MOVIE,They Call It Pro Football,1967,National Film Registry
MOVIE,Titicut Follies,1967,National Film Registry
MOVIE,Bullitt,1968,National Film Registry
MOVIE,High School,1968,National Film Registry
MOVIE,Mingus,1968,National Film Registry
MOVIE,Monterey Pop,1968,National Film Registry
MOVIE,Night of the Living Dead,1968,National Film Registry
MOVIE,Once Upon a Time in the West,1968,National Film Registry
MOVIE,Planet of the Apes,1968,National Film Registry
MOVIE,Brandy in the Wilderness,1969,National Film Registry
MOVIE,Medium Cool,1969,National Film Registry
MOVIE,Putney Swope,1969,National Film Registry
MOVIE,Salesman,1969,National Film Registry
MOVIE,The Learning Tree,1969,National Film Registry
MOVIE,Hospital,1970,National Film Registry
