mediaType,title,year
MOVIE,The Wasp Woman,1959
MOVIE,À bout de souffle,1960
MOVIE,Alakazam the Great,1960
MOVIE,Beyond the Time Barrier,1960
MOVIE,Black Sunday,1960
MOVIE,Breathless,1960
MOVIE,Circus of Horrors,1960
MOVIE,Eyes Without a Face,1960
MOVIE,Female Slave Ship,1960
MOVIE,First Spaceship on Venus,1960
MOVIE,Flaming Star,1960
MOVIE,Heller in Pink Tights,1960
MOVIE,Jigoku,1960
MOVIE,L'Avventura,1960
MOVIE,La maschera del demonio,1960
MOVIE,Last Woman on Earth,1960
MOVIE,Mania,1960
MOVIE,Mughal-e-Azam,1960
MOVIE,Ocean's 11,1960
MOVIE,Peeping Tom,1960
MOVIE,Purple Noon,1960
MOVIE,Shoot the Piano Player,1960
MOVIE,The Amazing Transparent Man,1960
MOVIE,The Flesh and the Fiends,1960
MOVIE,The Flower Thief,1960
MOVIE,The Little Shop of Horrors,1960
MOVIE,The Millionairess,1960
MOVIE,The Private Lives of Adam and Eve,1960
MOVIE,The Silent Star,1960
MOVIE,The Sinners of Hell,1960
MOVIE,The Warped Ones,1960
MOVIE,Allures,1961
MOVIE,Blast of Silence,1961
MOVIE,Do You Believe in Angels?,1961
MOVIE,Gorgo,1961
MOVIE,Greed in Broad Daylight,1961
MOVIE,High Noon for Gangsters,1961
MOVIE,Il Posto,1961
MOVIE,Love Mates,1961
MOVIE,Murder She Said,1961
MOVIE,Mysterious Island,1961
MOVIE,Paris Blues,1961
MOVIE,The Connection,1961
MOVIE,The Day the Earth Caught Fire,1961
MOVIE,The Last War,1961
MOVIE,The Mask,1961
MOVIE,The Misfits,1961
MOVIE,The Phantom Planet,1961
MOVIE,Viridiana,1961
MOVIE,What a Carve Up!,1961
MOVIE,47 Ronin,1962
MOVIE,Cape Fear,1962
MOVIE,Carnival of Souls,1962
MOVIE,Cartouche,1962
MOVIE,"Chūshingura: Hana no Maki, Yuki no Maki",1962
MOVIE,Follow That Dream,1962
MOVIE,Ivan's Childhood,1962
MOVIE,Jules and Jim,1962
MOVIE,Kid Galahad,1962
MOVIE,King Kong vs. Godzilla,1962
MOVIE,La Jetée,1962
MOVIE,Le Doulos,1962
MOVIE,Lonely Are the Brave,1962
MOVIE,Mondo Cane,1962
MOVIE,Panic in Year Zero!,1962
MOVIE,Salvatore Giuliano,1962
MOVIE,Santo vs. las Mujeres Vampiro,1962
MOVIE,The Brain That Wouldn't Die,1962
MOVIE,The Brainiac,1962
MOVIE,The Loneliness of the Long Distance Runner,1962
MOVIE,The Trial,1962
MOVIE,The World's Greatest Sinner,1962
MOVIE,Vivre sa vie,1962
MOVIE,Walk on the Wild Side,1962
MOVIE,War Hunt,1962
MOVIE,Astro Boy,1963
MOVIE,Bay of Angels,1963
MOVIE,Beach Party,1963
MOVIE,Blood Feast,1963
MOVIE,Contempt,1963
MOVIE,Dementia 13,1963
MOVIE,Flaming Creatures,1963
MOVIE,Hands over the City,1963
MOVIE,"It's a Mad, Mad, Mad, Mad World",1963
MOVIE,Jason and the Argonauts,1963
MOVIE,Kings of the Sun,1963
MOVIE,Matango,1963
MOVIE,The Blancheville Monster,1963
MOVIE,The Crawling Hand,1963
MOVIE,The Haunted and the Hunted,1963
MOVIE,The Haunting,1963
MOVIE,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies,1963
MOVIE,The Leopard,1963
MOVIE,The Queen of Sheba Meets the Atom Man,1963
MOVIE,The Servant,1963
MOVIE,The Terror,1963
MOVIE,X: The Man with the X-ray Eyes,1963
MOVIE,2000 Maniacs,1964
MOVIE,633 Squadron,1964
MOVIE,7 Faces of Dr. Lao,1964
MOVIE,A Fistful of Dollars,1964
MOVIE,A Shot in the Dark,1964
MOVIE,At Midnight I'll Take Your Soul,1964
MOVIE,Bande à part,1964
MOVIE,"Black God, White Devil",1964
MOVIE,Blow Job,1964
MOVIE,Carry On Cleo,1964
MOVIE,Empire,1964
MOVIE,Gonks Go Beat,1964
MOVIE,Henri-Georges Clouzot's Inferno,1964
MOVIE,Hercules Against the Moon Men,1964
MOVIE,Kwaidan,1964
MOVIE,Lemonade Joe,1964
MOVIE,Lilith,1964
MOVIE,Marnie,1964
MOVIE,Pale Flower,1964
MOVIE,Re-Entry,1964
MOVIE,Robinson Crusoe on Mars,1964
MOVIE,Santa Claus Conquers the Martians,1964
MOVIE,Scorpio Rising,1964
MOVIE,Séance on a Wet Afternoon,1964
MOVIE,Sleep,1964
MOVIE,The Gospel According to St. Matthew,1964
MOVIE,The Last Man on Earth,1964
MOVIE,The Leather Boys,1964
MOVIE,The Long Hair of Death,1964
MOVIE,The Masque of the Red Death,1964
MOVIE,The Naked Kiss,1964
MOVIE,The Time Travelers,1964
MOVIE,Two Thousand Maniacs!,1964
MOVIE,Viva Las Vegas,1964
MOVIE,Woman in the Dunes,1964
MOVIE,Zulu,1964
MOVIE,Alphaville,1965
MOVIE,Bunny Lake Is Missing,1965
MOVIE,Creature of the Walking Dead,1965
MOVIE,Dog Star Man,1965
MOVIE,Dont Look Back,1965
MOVIE,Dr. Goldfoot and the Bikini Machine,1965
MOVIE,Dr. Terror's House of Horrors,1965
MOVIE,"Faster, Pussycat! Kill! Kill!",1965
MOVIE,"Gamera, the Giant Monster",1965
MOVIE,Harum Scarum,1965
MOVIE,Help,1965
MOVIE,I Saw What You Did,1965
MOVIE,Invasion of Astro-Monster,1965
MOVIE,Mudhoney,1965
MOVIE,Planet of the Vampires,1965
MOVIE,Primitive London,1965
MOVIE,Repulsion,1965
MOVIE,Shadows of Forgotten Ancestors,1965
MOVIE,Sins of the Fleshapoids,1965
MOVIE,The 10th Victim,1965
MOVIE,The Cincinnati Kid,1965
MOVIE,The Hill,1965
MOVIE,The Loved One,1965
MOVIE,The Nanny,1965
MOVIE,The Saragossa Manuscript,1965
MOVIE,Vinyl,1965
MOVIE,What's New Pussycat?,1965
MOVIE,Wild Seed,1965
MOVIE,A Bullet for the General,1966
MOVIE,Andrei Rublev,1966
MOVIE,Batman,1966
MOVIE,Billy the Kid Versus Dracula,1966
MOVIE,Blowup,1966
MOVIE,Chafed Elbows,1966
MOVIE,Chelsea Girls,1966
MOVIE,Closely Watched Trains,1966
MOVIE,Cul-de-sac,1966
MOVIE,Daimajin,1966
MOVIE,Daisies,1966
MOVIE,Django,1966
MOVIE,Fahrenheit 451,1966
MOVIE,Fantastic Voyage,1966
MOVIE,Island of Terror,1966
MOVIE,Jesse James Meets Frankenstein's Daughter,1966
MOVIE,Jungle Emperor,1966
MOVIE,Kaleidoscope,1966
MOVIE,"Kill, Baby, Kill",1966
MOVIE,Kimba the White Lion,1966
MOVIE,King of Hearts,1966
MOVIE,Lapis,1966
MOVIE,Manos: The Hands of Fate,1966
MOVIE,Modesty Blaise,1966
MOVIE,Night Games,1966
MOVIE,One Million Years B.C.,1966
MOVIE,Persona,1966
MOVIE,Queen of Blood,1966
MOVIE,Return of Daimajin,1966
MOVIE,Ride in the Whirlwind,1966
MOVIE,The Appaloosa,1966
MOVIE,The Bible: In the Beginning...,1966
MOVIE,The Face of Another,1966
MOVIE,The Frozen Dead,1966
MOVIE,"The Good, the Bad and the Ugly",1966
MOVIE,The Navy vs. the Night Monsters,1966
MOVIE,The Nun,1966
MOVIE,The Reptile,1966
MOVIE,The Shooting,1966
